447837	V447837	55	21	富士	浜松西	105.5996518	140.7995358	6672.49	3815.213227
285613_2	V285613_2	53	21	沼津	京都南	310.3498101	413.7997468	19609.97	11212.6383
397266_3	V397266_3	36	21	竜王	西宮	70.57501583	94.1000211	4459.4	2549.807023
293886_2	V293886_2	46	21	袋井	吹田	231.75	309	14643.51	8372.903226
288981_3	V288981_3	1	21	清水	茨木	292.9496202	390.5994936	18510.51	10583.98628
334983_3	V334983_3	56	21	豊川	西宮	207	276	13079.64	7478.709677
296199_3	V296199_3	25	21	袋井	京都南	210.4499367	280.5999156	13297.63	7603.352552
289130_3	V289130_3	30	21	静岡	岡崎	113.8498101	151.7997468	7193.79	4113.283461
447837_2	V447837_2	20	21	富士	浜松西	105.5996518	140.7995358	6672.49	3815.213227
296288_2	V296288_2	28	21	袋井	茨木	228.5999683	304.7999578	14444.47	8259.095631
287029_2	V287029_2	39	21	富士	岡崎	146.5497468	195.3996624	9259.99	5294.700529
331444_2	V331444_2	9	21	小牧	京都南	107.6997784	143.5997046	6805.19	3891.088769
294461_3	V294461_3	43	21	掛川	小牧	112.5	150	7108.5	4064.516129
260963_2	V260963_2	26	21	大垣	西宮	125.1751424	166.9001899	7909.4	4522.456759
329472_3	V329472_3	18	21	一宮	西宮	140.0249525	186.6999367	8847.71	5058.966027
199214_3	V199214_3	13	21	大井松田	京都南	346.5748576	462.0998101	21898.91	12521.41421
285615	V285615	29	21	沼津	京都南	310.3498101	413.7997468	19609.97	11212.6383
306658	V306658	47	21	沼津	関ヶ原	234.5247943	312.6997257	14818.84	8473.153857
288816_2	V288816_2	7	21	袋井	岐阜羽島	118.8000633	158.4000844	7506.58	4292.131319
294516_2	V294516_2	1	21	掛川	茨木	238.3499683	317.7999578	15060.54	8611.353695
307800_2	V307800_2	52	21	袋井	茨木	228.5999683	304.7999578	14444.47	8259.095631
294545_3	V294545_3	54	21	掛川	西宮	258.75	345	16349.55	9348.387097
285271_2	V285271_2	24	21	袋井	茨木	228.5999683	304.7999578	14444.47	8259.095631
285271_3	V285271_3	52	21	袋井	茨木	228.5999683	304.7999578	14444.47	8259.095631
295731_3	V295731_3	20	21	袋井	吹田	231.75	309	14643.51	8372.903226
